OBJECTID,building_name,measured_height,building_class,storeys_above_ground,gameobject_name,lat,long
603,TELOK AYER CONSERVATION AREA,11.9680,,4,CityEngineMaterial_603_m,1.28243,103.846
604,TELOK AYER CONSERVATION AREA,15.2900,habitation,5,CityEngineMaterial_604_m,1.28239,103.846
605,TELOK AYER CONSERVATION AREA,15.1470,habitation,5,CityEngineMaterial_605_m,1.28236,103.846
606,TELOK AYER CONSERVATION AREA,15.6410,,5,CityEngineMaterial_606_m,1.28232,103.846
607,TELOK AYER CONSERVATION AREA,15.1030,,5,CityEngineMaterial_607_m,1.28228,103.846
608,TELOK AYER CONSERVATION AREA,16.4800,,5,CityEngineMaterial_608_m,1.28224,103.845
609,TELOK AYER CONSERVATION AREA,13.1000,,4,CityEngineMaterial_609_m,1.28221,103.845
610,TELOK AYER CONSERVATION AREA,13.0580,,4,CityEngineMaterial_610_m,1.28217,103.845
611,TELOK AYER CONSERVATION AREA,11.5400,,4,CityEngineMaterial_611_m,1.28213,103.845
612,TELOK AYER CONSERVATION AREA,11.9530,habitation,4,CityEngineMaterial_612_m,1.28209,103.845
613,TELOK AYER CONSERVATION AREA,9.2160,,3,CityEngineMaterial_613_m,1.28205,103.845
614,TELOK AYER CONSERVATION AREA,20.4790,habitation,7,CityEngineMaterial_614_m,1.28201,103.845
615,,15.2270,,5,CityEngineMaterial_615_m,1.28197,103.845
616,TELOK AYER CONSERVATION AREA,18.2500,sport,6,CityEngineMaterial_616_m,1.28192,103.845
617,TELOK AYER CONSERVATION AREA,15.2560,,5,CityEngineMaterial_617_m,1.28188,103.845
618,TELOK AYER CONSERVATION AREA,15.4890,habitation,5,CityEngineMaterial_618_m,1.28184,103.845
619,,13.7010,,5,CityEngineMaterial_619_m,1.28180,103.845
620,,13.8850,,5,CityEngineMaterial_620_m,1.28167,103.845
621,TELOK AYER CONSERVATION AREA,13.6710,,5,CityEngineMaterial_621_m,1.28172,103.845
622,TELOK AYER CONSERVATION AREA,13.6440,habitation,5,CityEngineMaterial_622_m,1.28176,103.845
623,,11.7070,habitation,4,CityEngineMaterial_623_m,1.28159,103.845
624,,17.0410,habitation,6,CityEngineMaterial_624_m,1.28165,103.845
625,TELOK AYER CONSERVATION AREA,13.5160,habitation,5,CityEngineMaterial_625_m,1.28169,103.845
626,TELOK AYER CONSERVATION AREA,19.6960,habitation,7,CityEngineMaterial_626_m,1.28244,103.846
627,TELOK AYER CONSERVATION AREA,17.8110,habitation,6,CityEngineMaterial_627_m,1.28241,103.846
628,TELOK AYER CONSERVATION AREA,14.5890,habitation,5,CityEngineMaterial_628_m,1.28237,103.846
629,TELOK AYER CONSERVATION AREA,17.2800,habitation,6,CityEngineMaterial_629_m,1.28230,103.846
630,TELOK AYER CONSERVATION AREA,18.4770,habitation,6,CityEngineMaterial_630_m,1.28226,103.846
631,TELOK AYER CONSERVATION AREA,18.3250,habitation,6,CityEngineMaterial_631_m,1.28221,103.846
632,TELOK AYER CONSERVATION AREA,18.6700,habitation,6,CityEngineMaterial_632_m,1.28217,103.846
633,TELOK AYER CONSERVATION AREA,17.0160,habitation,6,CityEngineMaterial_633_m,1.28214,103.846
634,TELOK AYER CONSERVATION AREA,17.6320,habitation,6,CityEngineMaterial_634_m,1.28210,103.846
635,TELOK AYER CONSERVATION AREA,17.6890,habitation,6,CityEngineMaterial_635_m,1.28206,103.846
636,,14.4580,,5,CityEngineMaterial_636_m,1.28203,103.846
637,TELOK AYER CONSERVATION AREA,15.2910,habitation,5,CityEngineMaterial_637_m,1.28198,103.846
638,TELOK AYER CONSERVATION AREA,15.3680,habitation,5,CityEngineMaterial_638_m,1.28195,103.846
639,TELOK AYER CONSERVATION AREA,15.4470,habitation,5,CityEngineMaterial_639_m,1.28191,103.846
640,TELOK AYER CONSERVATION AREA,15.5510,habitation,5,CityEngineMaterial_640_m,1.28188,103.846
641,TELOK AYER CONSERVATION AREA,15.5200,habitation,5,CityEngineMaterial_641_m,1.28183,103.846
642,TELOK AYER CONSERVATION AREA,14.2270,habitation,5,CityEngineMaterial_642_m,1.28179,103.846
643,TELOK AYER CONSERVATION AREA,14.1580,habitation,5,CityEngineMaterial_643_m,1.28174,103.845
644,FAR EAST SQUARE,15.3230,,5,CityEngineMaterial_644_m,1.28352,103.848
645,FAR EAST SQUARE,15.4970,habitation,5,CityEngineMaterial_645_m,1.28344,103.848
646,FAR EAST SQUARE,13.1210,"business, trade",4,CityEngineMaterial_646_m,1.28339,103.848
647,FAR EAST SQUARE,23.0840,"business, trade",8,CityEngineMaterial_647_m,1.28358,103.848
648,FAR EAST SQUARE,16.5880,"business, trade",6,CityEngineMaterial_648_m,1.28315,103.848
649,YING FO FUI KUN,11.6180,"business, trade",4,CityEngineMaterial_649_m,1.28251,103.848
650,FAR EAST SQUARE,14.7250,"business, trade",5,CityEngineMaterial_650_m,1.28272,103.849
651,FAR EAST SQUARE,10.9410,"business, trade",4,CityEngineMaterial_651_m,1.28299,103.849
652,,11.7660,,4,CityEngineMaterial_652_m,1.28298,103.849
653,FAR EAST SQUARE,13.5630,"business, trade",5,CityEngineMaterial_653_m,1.28320,103.849
654,FAR EAST SQUARE,19.7150,"business, trade",7,CityEngineMaterial_654_m,1.28292,103.848
655,FAR EAST SQUARE,10.7110,"business, trade",4,CityEngineMaterial_655_m,1.28322,103.849
656,CAPITAL SQUARE,15.1300,"business, trade",5,CityEngineMaterial_656_m,1.28378,103.849
657,CAPITAL SQUARE,13.3250,,4,CityEngineMaterial_657_m,1.28430,103.848
658,CAPITAL SQUARE,14.8600,,5,CityEngineMaterial_658_m,1.28397,103.848
659,CAPITAL SQUARE,2.4770,,1,CityEngineMaterial_659_m,1.28420,103.849
660,CAPITAL SQUARE,96.6390,"business, trade",32,CityEngineMaterial_660_m,1.28394,103.849
661,,14.4490,,5,CityEngineMaterial_661_m,1.28431,103.847
662,CHINA SQUARE CENTRAL,14.2660,"business, trade",5,CityEngineMaterial_662_m,1.28375,103.847
663,CHINA SQUARE CENTRAL,16.6880,"business, trade",6,CityEngineMaterial_663_m,1.28420,103.847
664,TELOK AYER CONSERVATION AREA,17.4120,habitation,6,CityEngineMaterial_664_m,1.28233,103.846
665,,4.4700,,1,CityEngineMaterial_665_m,1.28225,103.846
666,,13.6990,,5,CityEngineMaterial_666_m,1.28080,103.846
667,,20.2100,,7,CityEngineMaterial_667_m,1.28046,103.846
668,TELOK AYER CONSERVATION AREA,13.0540,habitation,4,CityEngineMaterial_668_m,1.28142,103.848
669,TELOK AYER CONSERVATION AREA,12.9600,habitation,4,CityEngineMaterial_669_m,1.28144,103.848
670,TELOK AYER CONSERVATION AREA,12.8610,habitation,4,CityEngineMaterial_670_m,1.28146,103.848
671,TELOK AYER CONSERVATION AREA,12.7860,habitation,4,CityEngineMaterial_671_m,1.28149,103.848
672,TELOK AYER CONSERVATION AREA,12.9410,,4,CityEngineMaterial_672_m,1.28122,103.848
673,,12.8880,,4,CityEngineMaterial_673_m,1.28125,103.848
674,,13.2050,,4,CityEngineMaterial_674_m,1.28130,103.848
675,,7.0580,,2,CityEngineMaterial_675_m,1.28072,103.845
